Jun/21/2018 13:51:28
epoches, top1
2925,tensor(16.1885, device='cuda:0')
2930,tensor(4.7131, device='cuda:0')
2935,tensor(6.7623, device='cuda:0')
2940,tensor(51.2295, device='cuda:0')
2945,tensor(0., device='cuda:0')
2950,tensor(0.2049, device='cuda:0')
2955,tensor(0., device='cuda:0')
2960,tensor(6.7623, device='cuda:0')
2965,tensor(47.3361, device='cuda:0')
2970,tensor(0.6148, device='cuda:0')
2975,tensor(44.2623, device='cuda:0')
2980,tensor(9.4262, device='cuda:0')
2985,tensor(2.2541, device='cuda:0')
2990,tensor(32.5820, device='cuda:0')
2995,tensor(1.6393, device='cuda:0')
3000,tensor(40.5738, device='cuda:0')
3005,tensor(40.1639, device='cuda:0')
3010,tensor(0.2049, device='cuda:0')
3015,tensor(15.3689, device='cuda:0')
3020,tensor(3.6885, device='cuda:0')
3025,tensor(0.6148, device='cuda:0')
3030,tensor(0., device='cuda:0')
3035,tensor(0.2049, device='cuda:0')
3040,tensor(0., device='cuda:0')
3045,tensor(0.4098, device='cuda:0')
3050,tensor(0., device='cuda:0')
3055,tensor(0., device='cuda:0')
3060,tensor(52.4590, device='cuda:0')
3065,tensor(52.4590, device='cuda:0')
3070,tensor(9.2213, device='cuda:0')
3075,tensor(4.7131, device='cuda:0')
3080,tensor(0., device='cuda:0')
3085,tensor(5.5328, device='cuda:0')
3090,tensor(43.8525, device='cuda:0')
3095,tensor(0.8197, device='cuda:0')
3100,tensor(0., device='cuda:0')
3105,tensor(15.3689, device='cuda:0')
3110,tensor(0.2049, device='cuda:0')
3115,tensor(0., device='cuda:0')
3120,tensor(18.4426, device='cuda:0')
3125,tensor(46.9262, device='cuda:0')
3130,tensor(0., device='cuda:0')
3135,tensor(0., device='cuda:0')
3140,tensor(12.5000, device='cuda:0')
3145,tensor(2.6639, device='cuda:0')
3150,tensor(0., device='cuda:0')
3155,tensor(52.4590, device='cuda:0')
3160,tensor(0., device='cuda:0')
3165,tensor(0., device='cuda:0')
3170,tensor(49.7951, device='cuda:0')
3175,tensor(0., device='cuda:0')
3180,tensor(0.2049, device='cuda:0')
3185,tensor(0., device='cuda:0')
3190,tensor(51.8443, device='cuda:0')
3195,tensor(0.2049, device='cuda:0')
3200,tensor(51.6393, device='cuda:0')
3205,tensor(16.8033, device='cuda:0')
3210,tensor(0., device='cuda:0')
3215,tensor(13.5246, device='cuda:0')
3220,tensor(21.7213, device='cuda:0')
3225,tensor(0., device='cuda:0')
3230,tensor(45.2869, device='cuda:0')
3235,tensor(0., device='cuda:0')
3240,tensor(0.2049, device='cuda:0')
3245,tensor(15.9836, device='cuda:0')
3250,tensor(36.0656, device='cuda:0')
3255,tensor(0., device='cuda:0')
3260,tensor(33.6066, device='cuda:0')
3265,tensor(0., device='cuda:0')
3270,tensor(0., device='cuda:0')
3275,tensor(38.3197, device='cuda:0')
3280,tensor(21.5164, device='cuda:0')
3285,tensor(32.7869, device='cuda:0')
3290,tensor(0., device='cuda:0')
3295,tensor(0., device='cuda:0')
3300,tensor(42.2131, device='cuda:0')
3305,tensor(14.7541, device='cuda:0')
3310,tensor(38.9344, device='cuda:0')
3315,tensor(14.1393, device='cuda:0')
3320,tensor(0., device='cuda:0')
3325,tensor(0.2049, device='cuda:0')
3330,tensor(42.4180, device='cuda:0')
3335,tensor(0., device='cuda:0')
3340,tensor(50.0000, device='cuda:0')
3345,tensor(0.2049, device='cuda:0')
3350,tensor(0., device='cuda:0')
3355,tensor(2.4590, device='cuda:0')
3360,tensor(3.6885, device='cuda:0')
3365,tensor(22.7459, device='cuda:0')
3370,tensor(15.7787, device='cuda:0')
3375,tensor(0., device='cuda:0')
3380,tensor(0., device='cuda:0')
3385,tensor(21.3115, device='cuda:0')
3390,tensor(14.3443, device='cuda:0')
3395,tensor(52.4590, device='cuda:0')
3400,tensor(18.4426, device='cuda:0')
3405,tensor(4.9180, device='cuda:0')
3410,tensor(13.1148, device='cuda:0')
3415,tensor(16.1885, device='cuda:0')
3420,tensor(0.4098, device='cuda:0')
3425,tensor(52.2541, device='cuda:0')
3430,tensor(27.6639, device='cuda:0')
3435,tensor(5.3279, device='cuda:0')
3440,tensor(15.3689, device='cuda:0')
3445,tensor(12.7049, device='cuda:0')
3450,tensor(0., device='cuda:0')
3455,tensor(0.4098, device='cuda:0')
3460,tensor(0., device='cuda:0')
3465,tensor(10.0410, device='cuda:0')
3470,tensor(1.4344, device='cuda:0')
3475,tensor(0., device='cuda:0')
3480,tensor(0., device='cuda:0')
3485,tensor(4.7131, device='cuda:0')
3490,tensor(32.1721, device='cuda:0')
3495,tensor(50.0000, device='cuda:0')
3500,tensor(44.6721, device='cuda:0')
3505,tensor(0., device='cuda:0')
